ZIPN,ZIPA,RUCA2,ZIPTYP,PARZIP,LINF1,LINF4,TTIM1A,TTIM4A,FASTA,TDIS1A,TDIS4A,SHORTA,TTIM1B,TTIM4B,FASTB,TDIS1B,TDIS4B,SHORTB,UP1SZ,UP2SZ,FIPSST,STATE,MST,UUSZ,UTYP,POPCAT5
54651,54651,10,1,54651,2,2,3,5,1,2,3,1,3,5,1,2,3,1,-9,-9,55,WI,,-9,-9,5
54652,54652,10.6,1,54652,2,2,3,4,1,2,4,1,3,4,1,2,4,1,-9,-9,55,WI,,-9,-9,4
54653,54653,2,1,54653,2,2,2,4,1,2,3,1,2,4,1,2,3,1,-9,-9,55,WI,,-9,-9,4
54654,54654,10,2,54631,2,2,4,4,1,3,4,1,4,4,1,3,4,1,-9,-9,55,WI,,-9,-9,1
54655,54655,10,1,54655,2,2,3,4,1,3,3,1,3,4,1,3,3,1,-9,-9,55,WI,,-9,-9,5
54656,54656,7.3,1,54656,2,2,1,3,1,1,3,1,1,3,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54657,54657,10.6,1,54657,2,2,5,4,2,4,3,2,5,4,2,4,3,2,-9,-9,55,WI,,-9,-9,3
54658,54658,2,1,54658,2,2,1,3,1,1,2,1,1,3,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54659,54659,9,1,54659,2,2,3,3,1,2,2,1,3,3,1,2,2,1,-9,-9,55,WI,,-9,-9,5
54660,54660,7,1,54660,2,2,2,4,1,2,3,1,2,4,1,2,3,1,-9,-9,55,WI,,-9,-9,5
54661,54661,3,1,54661,2,2,1,1,1,1,1,1,1,1,1,1,1,1,-9,-9,55,WI,,-9,-9,5
54662,54662,7,2,54660,2,2,2,4,1,2,3,1,2,4,1,2,3,1,-9,-9,55,WI,,-9,-9,1
54664,54664,10.6,1,54664,2,2,3,5,1,3,4,1,3,5,1,3,4,1,-9,-9,55,WI,,-9,-9,5
54665,54665,7,1,54665,2,2,2,4,1,2,4,1,2,4,1,2,4,1,-9,-9,55,WI,,-9,-9,5
54666,54666,8,1,54666,2,2,4,3,2,3,2,2,4,3,2,3,2,2,-9,-9,55,WI,,-9,-9,5
54667,54667,10.4,1,54667,2,2,2,4,1,1,3,1,2,4,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54669,54669,2,1,54669,2,2,1,2,1,1,2,1,1,2,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54670,54670,10.6,1,54670,2,2,3,4,1,3,3,1,3,4,1,3,3,1,-9,-9,55,WI,,-9,-9,5
54701,54701,1,1,54701,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54702,54702,1,2,54703,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,1
54703,54703,1,1,54703,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54720,54720,1,1,54720,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54721,54721,10,1,54721,2,2,3,1,2,2,1,2,3,1,2,2,1,2,-9,-9,55,WI,,-9,-9,5
54722,54722,10.4,1,54722,2,2,1,4,1,1,3,1,1,4,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54723,54723,5.2,1,54723,2,2,4,1,2,2,1,2,4,1,2,2,1,2,-9,-9,55,WI,,-9,-9,5
54724,54724,7.1,1,54724,2,2,1,3,1,1,2,1,1,3,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54725,54725,6,1,54725,2,2,3,1,2,2,1,2,3,1,2,2,1,2,-9,-9,55,WI,,-9,-9,5
54726,54726,2,1,54726,2,2,1,3,1,1,3,1,1,3,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54727,54727,2,1,54727,2,2,1,3,1,1,2,1,1,3,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54728,54728,10.6,1,54728,2,2,2,4,1,2,3,1,2,4,1,2,3,1,-9,-9,55,WI,,-9,-9,5
54729,54729,1,1,54729,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54730,54730,5,1,54730,2,2,2,1,2,1,1,2,2,1,2,1,1,2,-9,-9,55,WI,,-9,-9,5
54731,54731,8,1,54731,2,2,4,6,1,3,5,1,4,6,1,3,5,1,-9,-9,55,WI,,-9,-9,4
54732,54732,2,1,54732,2,2,2,5,1,2,3,1,2,5,1,2,3,1,-9,-9,55,WI,,-9,-9,5
54733,54733,10.6,1,54733,2,2,3,3,2,3,2,2,3,3,2,3,2,2,-9,-9,55,WI,,-9,-9,5
54734,54734,6,1,54734,2,2,3,1,2,2,1,2,3,1,2,2,1,2,-9,-9,55,WI,,-9,-9,4
54735,54735,4,2,54751,2,-1,2,0,2,1,0,2,2,0,2,1,0,2,-9,-9,55,WI,,-9,-9,1
54736,54736,10.4,1,54736,2,2,3,1,2,2,1,2,3,1,2,2,1,2,-9,-9,55,WI,,-9,-9,5
54737,54737,5,1,54737,2,2,3,1,2,2,1,2,3,1,2,2,1,2,-9,-9,55,WI,,-9,-9,3
54738,54738,2,1,54738,2,2,1,3,1,1,2,1,1,3,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54739,54739,2,1,54739,2,2,1,1,2,1,1,1,1,1,2,1,1,1,-9,-9,55,WI,,-9,-9,5
54740,54740,10.4,1,54740,2,2,3,1,2,2,1,2,3,1,2,2,1,2,-9,-9,55,WI,,-9,-9,5
54741,54741,10.4,1,54741,2,2,2,3,1,1,3,1,2,3,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54742,54742,2,1,54742,2,2,1,3,1,1,2,1,1,3,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54743,54743,10.4,2,54755,2,2,2,2,1,1,2,1,2,2,1,1,2,1,-9,-9,55,WI,,-9,-9,1
54745,54745,3,1,54745,2,2,3,5,1,2,4,1,3,5,1,2,4,1,-9,-9,55,WI,,-9,-9,5
54746,54746,10,1,54746,2,2,3,3,1,2,3,1,3,3,1,2,3,1,-9,-9,55,WI,,-9,-9,4
54747,54747,10,1,54747,2,2,3,3,1,2,2,1,3,3,1,2,2,1,-9,-9,55,WI,,-9,-9,5
54748,54748,2,1,54748,2,2,2,4,1,1,2,1,2,4,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54749,54749,6,1,54749,2,2,2,1,2,2,1,2,2,1,2,2,1,2,-9,-9,55,WI,,-9,-9,5
54750,54750,10.5,1,54750,2,2,4,3,2,3,2,2,4,3,2,3,2,2,-9,-9,55,WI,,-9,-9,5
54751,54751,4,1,54751,2,-1,2,0,2,1,0,2,2,0,2,1,0,2,-9,-9,55,WI,,-9,-9,5
54754,54754,8,1,54754,2,2,3,3,1,3,3,2,3,3,1,3,3,2,-9,-9,55,WI,,-9,-9,5
54755,54755,10.4,1,54755,2,2,2,2,1,1,2,1,2,2,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54756,54756,10,1,54756,2,2,4,3,2,3,2,2,4,3,2,3,2,2,-9,-9,55,WI,,-9,-9,4
54757,54757,3,1,54757,2,2,2,4,1,1,2,1,2,4,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54758,54758,10.4,1,54758,2,2,2,3,1,1,3,1,2,3,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54759,54759,10,1,54759,2,2,4,3,2,3,2,2,4,3,2,3,2,2,-9,-9,55,WI,,-9,-9,5
54760,54760,10.4,2,54758,2,2,2,3,1,1,3,1,2,3,1,1,3,1,-9,-9,55,WI,,-9,-9,1
54761,54761,10.5,1,54761,2,2,3,2,2,2,1,2,3,2,2,2,1,2,-9,-9,55,WI,,-9,-9,5
