ZIPN,ZIPA,RUCA2,ZIPTYP,PARZIP,LINF1,LINF4,TTIM1A,TTIM4A,FASTA,TDIS1A,TDIS4A,SHORTA,TTIM1B,TTIM4B,FASTB,TDIS1B,TDIS4B,SHORTB,UP1SZ,UP2SZ,FIPSST,STATE,MST,UUSZ,UTYP,POPCAT5
54933,54933,7,2,54929,2,2,2,4,1,2,3,1,2,4,1,2,3,1,-9,-9,55,WI,,-9,-9,1
54934,54934,7.3,2,54923,2,2,2,3,1,1,2,1,2,3,1,1,2,1,-9,-9,55,WI,,-9,-9,1
54935,54935,1,1,54935,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54936,54936,1,2,54935,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,1
54937,54937,1,1,54937,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54940,54940,2,1,54940,2,2,1,3,1,1,2,1,1,3,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54941,54941,10.6,1,54941,2,2,2,2,2,1,1,2,2,2,2,1,1,2,-9,-9,55,WI,,-9,-9,5
54942,54942,1,1,54942,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54943,54943,10,1,54943,2,2,3,1,2,3,1,2,3,1,2,3,1,2,-9,-9,55,WI,,-9,-9,5
54944,54944,2,1,54944,2,2,1,4,1,1,3,1,1,4,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54945,54945,10,1,54945,2,2,3,2,2,3,1,2,3,2,2,3,1,2,-9,-9,55,WI,,-9,-9,5
54946,54946,7,2,54981,2,2,2,2,2,2,1,2,2,2,2,2,1,2,-9,-9,55,WI,,-9,-9,1
54947,54947,2,1,54947,2,2,1,4,1,1,3,1,1,4,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54948,54948,10.6,1,54948,2,2,3,4,1,2,3,1,3,4,1,2,3,1,-9,-9,55,WI,,-9,-9,3
54949,54949,10,1,54949,2,2,2,3,1,1,2,1,2,3,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54950,54950,10.6,1,54950,2,2,3,4,1,2,2,1,3,4,1,2,2,1,-9,-9,55,WI,,-9,-9,5
54952,54952,1,1,54952,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54956,54956,1,1,54956,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,5
54957,54957,1,2,54956,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,1
54960,54960,10,1,54960,2,2,3,3,1,2,2,1,3,3,1,2,2,1,-9,-9,55,WI,,-9,-9,5
54961,54961,7.1,1,54961,2,2,1,3,1,1,3,1,1,3,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54962,54962,10,1,54962,2,2,3,3,2,2,2,2,3,3,2,2,2,2,-9,-9,55,WI,,-9,-9,5
54963,54963,2,1,54963,2,2,1,3,1,1,3,1,1,3,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54964,54964,2,1,54964,2,2,1,2,1,1,1,1,1,2,1,1,1,1,-9,-9,55,WI,,-9,-9,4
54965,54965,3,1,54965,2,2,2,3,1,2,2,1,2,3,1,2,2,1,-9,-9,55,WI,,-9,-9,5
54966,54966,10.5,1,54966,2,2,3,1,2,3,1,2,3,1,2,3,1,2,-9,-9,55,WI,,-9,-9,5
54967,54967,3,1,54967,2,2,2,3,1,1,3,1,2,3,1,1,3,1,-9,-9,55,WI,,-9,-9,3
54968,54968,10.6,1,54968,2,2,3,2,2,2,2,2,3,2,2,2,2,2,-9,-9,55,WI,,-9,-9,5
54969,54969,2,2,54940,2,2,1,3,1,1,2,1,1,3,1,1,2,1,-9,-9,55,WI,,-9,-9,1
54970,54970,3,1,54970,2,2,2,3,1,1,3,1,2,3,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54971,54971,7,1,54971,2,2,2,1,2,1,1,1,2,1,2,1,1,1,-9,-9,55,WI,,-9,-9,5
54974,54974,2,1,54974,2,2,1,1,2,1,1,2,1,1,2,1,1,2,-9,-9,55,WI,,-9,-9,5
54975,54975,7.1,2,54961,2,2,1,3,1,1,3,1,1,3,1,1,3,1,-9,-9,55,WI,,-9,-9,1
54976,54976,10,2,54984,2,2,3,2,2,2,2,2,3,2,2,2,2,2,-9,-9,55,WI,,-9,-9,1
54977,54977,10,1,54977,2,2,3,2,2,2,1,2,3,2,2,2,1,2,-9,-9,55,WI,,-9,-9,5
54978,54978,10.6,1,54978,2,2,3,4,1,2,3,1,3,4,1,2,3,1,-9,-9,55,WI,,-9,-9,2
54979,54979,2,1,54979,2,2,1,2,1,1,1,1,1,2,1,1,1,1,-9,-9,55,WI,,-9,-9,5
54980,54980,2,2,54963,2,2,1,3,1,1,3,1,1,3,1,1,3,1,-9,-9,55,WI,,-9,-9,1
54981,54981,7,1,54981,2,2,2,2,2,2,1,2,2,2,2,2,1,2,-9,-9,55,WI,,-9,-9,5
54982,54982,10,1,54982,2,2,2,2,1,2,2,1,2,2,1,2,2,1,-9,-9,55,WI,,-9,-9,5
54983,54983,10.6,1,54983,2,2,2,2,1,1,2,1,2,2,1,1,2,1,-9,-9,55,WI,,-9,-9,5
54984,54984,10,1,54984,2,2,3,2,2,2,2,2,3,2,2,2,2,2,-9,-9,55,WI,,-9,-9,5
54985,54985,1,2,54902,-1,-1,0,-1,1,0,-1,1,0,-1,1,0,-1,1,-9,-9,55,WI,,-9,-9,1
54986,54986,2,1,54986,2,2,1,4,1,1,3,1,1,4,1,1,3,1,-9,-9,55,WI,,-9,-9,5
54990,54990,10,2,54945,2,2,3,2,2,3,1,2,3,2,2,3,1,2,-9,-9,55,WI,,-9,-9,1
